DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por UF de notificação e Ano Notificação
Período:2007-2013
"UF de notificação";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"Total"
"11 Rondônia";5634;10192;24692;21434;2952;3194;8485;76583
"12 Acre";2353;4556;23064;34316;18833;2259;2467;87848
"13 Amazonas";3899;11554;2994;7469;62247;5359;17545;111067
"14 Roraima";2573;7526;6155;7372;1297;1845;933;27701
"15 Pará";20376;26153;12055;14832;16811;16327;8941;115495
"16 Amapá";5695;2315;3051;3244;2765;1533;1683;20286
"17 Tocantins";22094;21728;10226;9008;9314;11795;8698;92863
"21 Maranhão";15902;8015;3854;5556;10247;5270;3489;52333
"22 Piauí";13831;5364;6015;7069;9830;12326;5004;59439
"23 Ceará";51372;84729;20612;20988;60635;54991;29974;323301
"24 Rio Grande do Norte";15914;42875;3901;6966;20854;26643;16663;133816
"25 Paraíba";12754;11318;1602;6161;10944;8577;13114;64470
"26 Pernambuco";35735;41891;8394;33004;16070;31096;7159;173349
"27 Alagoas";12996;19554;6068;45169;7479;27488;10599;129353
"28 Sergipe";2215;35790;3739;588;2440;4622;822;50216
"29 Bahia";14797;50170;123652;44097;36347;48227;60381;377671
"31 Minas Gerais";44122;79646;83089;211040;34153;30121;415068;897239
"32 Espírito Santo";10406;39922;51738;23340;32872;11462;66468;236208
"33 Rio de Janeiro";65700;256264;13094;26691;158528;178515;208419;907211
"35 São Paulo";187636;72495;44111;199735;109272;28093;216398;857740
"41 Paraná";51545;18445;10820;37855;28894;4579;65907;218045
"42 Santa Catarina";599;707;262;182;139;93;305;2287
"43 Rio Grande do Sul";1411;847;277;3602;331;155;448;7071
"50 Mato Grosso do Sul";75656;5171;21104;62856;6263;9277;78072;258399
"51 Mato Grosso";20998;11612;63459;36579;5008;32848;34912;205416
"52 Goiás";18402;46854;50582;100864;23145;23856;130542;394245
"53 Distrito Federal";2380;3556;1942;15471;1607;1814;19738;46508
"Total";716995;919249;600552;985488;689277;582365;1432234;5926160
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 ncluídas notificações de indivíduos residentes no Brasil, independente de sua confirmação, exceto os descartados, pois em situações de epidemia nem sempre é possível confirmar todos os casos.
 Para tabular os óbitos por dengue até 2012, deve-se considerar apenas os casos graves (DCC, FHD, SCD, DSA, DG) em que a evolução seja "óbito pelo agravo notificado" com critério de confirmação laboratorial e clínico-epidemiológico. A partir de 2013,
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2007 atualizados em 30/08/2009.
 Dados de 2008 atualizados em 17/03/2011.
 Dados de 2009 atualizados em 23/06/2011.
 Dados de 2010 atualizados em 18/06/2011.
 Dados de 2011 atualizados em 11/01/2012.
 Dados de 2012 atualizados em 25/07/2013.
 Dados de 2013 atualizados em 10/07/2014.
 Data da publicação dos dados 04/02/2019.
 
